index,accuracy
1,0.5797101449275363
2,0.5797101449275363
3,0.5797101449275363
4,0.5797101449275363
5,0.5797101449275363
6,0.5797101449275363
7,0.5797101449275363
8,0.5797101449275363
9,0.5797101449275363
10,0.6666666666666666
11,0.7971014492753623
12,0.8405797101449275
13,0.8405797101449275
14,0.8985507246376812
15,0.9420289855072463
16,0.9710144927536232
17,0.9710144927536232
18,0.9710144927536232
19,0.9710144927536232
20,0.9565217391304348
21,0.9855072463768116
22,1.0
23,1.0
24,0.9855072463768116
25,0.9855072463768116
26,0.9855072463768116
27,0.9855072463768116
28,0.9855072463768116
29,0.9855072463768116
30,0.9855072463768116
31,0.9855072463768116
32,0.9855072463768116
33,0.9855072463768116
34,0.9855072463768116
35,0.9855072463768116
36,0.9855072463768116
37,0.9855072463768116
38,0.9855072463768116
39,0.9855072463768116
40,0.9855072463768116
41,0.9855072463768116
42,0.9855072463768116
43,0.9855072463768116
44,0.9855072463768116
45,0.9855072463768116
46,0.9855072463768116
47,0.9855072463768116
48,0.9855072463768116
49,0.9855072463768116
50,0.9855072463768116
51,0.9855072463768116
52,0.9855072463768116
53,0.9855072463768116
54,0.9855072463768116
55,0.9855072463768116
56,0.9855072463768116
57,0.9855072463768116
58,0.9855072463768116
59,0.9855072463768116
60,0.9855072463768116
61,0.9855072463768116
62,0.9855072463768116
63,0.9855072463768116
64,0.9855072463768116
65,0.9855072463768116
66,0.9855072463768116
67,0.9855072463768116
68,0.9855072463768116
69,0.9855072463768116
70,0.9855072463768116
71,0.9855072463768116
72,0.9710144927536232
73,0.9710144927536232
74,0.9710144927536232
75,0.9710144927536232
76,0.9855072463768116
77,0.9710144927536232
78,0.9855072463768116
79,0.9855072463768116
80,0.9855072463768116
best_scores,1.0
